group,model,sampleid,repeat,score,score_raw,penalty_applied,timed_out,n_correct,n_total,n_tool_calls,result_file
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,9,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,10,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,11,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,12,0.0,0.0,False,False,0,4,8,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,13,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,14,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,15,0.0,0.0,False,False,0,4,8,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,0,1.0,1.0,False,False,4,4,1,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,1,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,2,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,3,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,4,1.0,1.0,False,False,4,4,1,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,5,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,6,0.0,0.0,False,False,0,4,11,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,7,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,8,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,9,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,10,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,11,1.0,1.0,False,False,4,4,5,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,12,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,13,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,14,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c24c48_cell_r001_anon,15,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
